plot_install_year,target_stand,region_symbol,thinning_intensity,species,marker_label,regional_forest_service,long,lat
2012,bPk,북부09,a무간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부09<br/>thinning_intensity: a무간벌<br/>,aNorth,127.7330472220001,37.490516667000065
2012,bPk,북부09,b약도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부09<br/>thinning_intensity: b약도간벌<br/>,aNorth,127.73347777800006,37.48907500000007
2012,bPk,북부09,c강도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부09<br/>thinning_intensity: c강도간벌<br/>,aNorth,127.73285555600012,37.49039722200007
2012,bPk,북부10,a무간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부10<br/>thinning_intensity: a무간벌<br/>,aNorth,128.29227777800008,37.938083333000066
2012,bPk,북부10,b약도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부10<br/>thinning_intensity: b약도간벌<br/>,aNorth,128.292444444,37.93772222200005
2012,bPk,북부10,c강도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부10<br/>thinning_intensity: c강도간벌<br/>,aNorth,128.29254957600006,37.93806915300007
2012,bPk,북부11,a무간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부11<br/>thinning_intensity: a무간벌<br/>,aNorth,128.24169830900007,38.02157548900004
2012,bPk,북부11,b약도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부11<br/>thinning_intensity: b약도간벌<br/>,aNorth,128.2413472830001,38.02171543000003
2012,bPk,북부11,c강도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부11<br/>thinning_intensity: c강도간벌<br/>,aNorth,128.24157064000008,38.021192978000045
2012,bPk,북부12,a무간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부12<br/>thinning_intensity: a무간벌<br/>,aNorth,128.3279988160001,38.199342871000056
2012,bPk,북부12,b약도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부12<br/>thinning_intensity: b약도간벌<br/>,aNorth,128.328033193,38.199565574000076
2012,bPk,북부12,c강도간벌,잣나무,target_stand: 잣나무<br/>plot_install_year: 2012<br/>region_symbol: 북부12<br/>thinning_intensity: c강도간벌<br/>,aNorth,128.32808583400003,38.19900304300006
2013,cLk,남부01,a무간벌,낙엽송,target_stand: 낙엽송<br/>plot_install_year: 2013<br/>region_symbol: 남부01<br/>thinning_intensity: a무간벌<br/>,cSouth,128.58344813100007,37.00689080700005
