experiment,target_stand,inventory_th,plot_install_year,thinning_intensity,region_symbol,age,age_class,dbh,Dq,height,Hd,si,tph,sdi,rd,ba,vol,dbhgr,bagr,geometry,species,marker_label,regional_forest_service
a소나무림_2014_북부07,a소나무림,1,2014,a무간벌,북부07,55,6,31.9,32.5,14.8,17.1,16.2,431,568,0.55,35.8,250.4,1.57,3.34,list(),NA,NA,aNorth
a소나무림_2014_북부07,a소나무림,1,2014,b약도간벌,북부07,55,6,33.6,34,16.2,17.8,17.2,426,588.1,0.56,38.7,306.1,0.62,1.42,list(),NA,NA,aNorth
a소나무림_2014_북부07,a소나무림,1,2014,c강도간벌,북부07,55,6,30.4,30.7,16,17.2,15.3,393,488.5,0.47,29.2,225.5,0.83,1.63,list(),NA,NA,aNorth
a소나무림_2014_북부08,a소나무림,1,2014,a무간벌,북부08,54,6,29.7,30.7,14.4,16.7,16.2,538,665.9,0.64,39.7,272.9,0.88,2.4,list(),NA,NA,aNorth
a소나무림_2014_북부08,a소나무림,1,2014,b약도간벌,북부08,54,6,21.1,22.1,10.7,13.5,12.8,1033,907,0.87,39.5,230.5,0.88,2.98,list(),NA,NA,aNorth
a소나무림_2014_북부08,a소나무림,1,2014,c강도간벌,북부08,54,6,29.5,31,14.8,18.1,16.3,403,505.2,0.49,30.4,237.1,0.91,1.73,list(),NA,NA,aNorth
a소나무림_2015_남부01,a소나무림,1,2015,a무간벌,남부01,47,5,26.2,27.6,15.3,20.1,18.7,602,668.5,0.64,36.1,271.5,3.02,3.18,list(),NA,NA,cSouth
a소나무림_2015_남부01,a소나무림,1,2015,b약도간벌,남부01,47,5,35.5,36.2,12.4,17.8,17.3,322,473.7,0.45,33.1,265.5,2.22,3.95,list(),NA,NA,cSouth
a소나무림_2015_남부01,a소나무림,1,2015,c강도간벌,남부01,47,5,32.5,33.1,15.9,17.7,17.9,288,387,0.37,24.8,195.6,1.39,0.92,list(),NA,NA,cSouth
a소나무림_2015_남부02,a소나무림,1,2015,a무간벌,남부02,42,5,23.2,28.4,15.1,19.3,19.3,855,978.5,0.94,54.3,426.1,-0.63,6.04,list(),NA,NA,cSouth
a소나무림_2015_남부02,a소나무림,1,2015,b약도간벌,남부02,42,5,32.3,32.9,15.9,17.9,17.3,291,388.2,0.37,24.8,194.7,1.71,2.64,list(),NA,NA,cSouth
a소나무림_2015_남부02,a소나무림,1,2015,c강도간벌,남부02,42,5,31.6,32.1,14.8,17.4,18.8,355,460.8,0.44,28.7,224.3,1.94,3.63,list(),NA,NA,cSouth
a소나무림_2015_남부03,a소나무림,1,2015,a무간벌,남부03,53,6,27.7,28.4,19.1,21.6,19.1,758,866.3,0.83,48,438,1.34,4.84,list(),NA,NA,cSouth
a소나무림_2015_남부03,a소나무림,1,2015,b약도간벌,남부03,53,6,28.9,29.4,15.8,17.4,16.3,431,510.6,0.49,29.2,222.9,1.84,3.75,list(),NA,NA,cSouth
a소나무림_2015_남부03,a소나무림,1,2015,c강도간벌,남부03,53,6,31.4,31.8,15.7,17.7,17.2,290,374.1,0.36,23.1,180.2,1.82,2.74,list(),NA,NA,cSouth
a소나무림_2015_남부04,a소나무림,1,2015,a무간벌,남부04,26,3,16.9,17.2,10.5,11.9,16.4,1270,859.1,0.83,29.5,171.9,2.81,10.74,list(),NA,NA,cSouth
a소나무림_2015_남부04,a소나무림,1,2015,b약도간벌,남부04,26,3,14.2,14.7,9.7,12,16.2,596,341.2,0.33,10.1,62.8,2.9,4.41,list(),NA,NA,cSouth
a소나무림_2015_남부04,a소나무림,1,2015,c강도간벌,남부04,26,3,15.9,16.4,10.3,13.5,17.5,472,303.3,0.29,10,63.8,3.31,3.31,list(),NA,NA,cSouth
a소나무림_2015_남부05,a소나무림,1,2015,a무간벌,남부05,27,3,14.2,14.7,9,12,16.2,1009,580.4,0.56,17.2,99.7,2.5,6.21,list(),NA,NA,cSouth
